Time,Room,Session,Gear,Tech,Day
,,Tuesday,,,
,Sorento,MARX Storage,,,Tuesday
6:00 PM,Presidio 1,Peer-to-Peer Setup,,,Tuesday
6:00 PM,Presidio 2,Peer-to-Peer Setup,,,Tuesday
6:00 PM,Grand Ballroom 3-4,Workshop Setup (Wed/Thur/Fri),,,Tuesday
6:00 PM,Grand Ballroom 5-9,Opening Session Setup,,,Tuesday
6:00 PM,Grand Ballroom 10-11,Workshop Setup (Thur/Fri),,,Tuesday
6:00 PM,Grand Ballroom 12-13,Workshop Setup (Thur/Fri),,,Tuesday
7:00 PM,San Diego Ballroom A,Workshop Setup (Reset to Fireside Wed @ 4:30 PM),,,Tuesday
7:00 PM,San Diego Ballroom B,General Session Setup,,,Tuesday
7:00 PM,San Diego Ballroom C,Mock Negotiations Setup,,,Tuesday
,,Wednesday,,,
7:00 AM,Pacific Ballroom 25-26,Specialty CLE Setup,,,Wednesday
7:00 AM,Rancho Sante Fe ,Core Concepts Setup,,,Wednesday
2:15 PM - 3:15 PM,San Diego Ballroom B,"General Session 01 | Drafting to Avoid Litigation, or at Least to Maximize the Chance of a Win",,,Wednesday
2:15 PM - 3:15 PM,San Diego Ballroom A,Workshop 01 | REAs and New Developments — Baking in the Flexibility: A Recipe for REAs for New Developments,,,Wednesday
2:15 PM - 3:15 PM,Pacific Ballroom 25-26,"Workshop 02 | Standard Lease Templates: Working With AIR, REBNY and Other Form Leases",,,Wednesday
2:15 PM - 3:15 PM,Rancho Sante Fe ,Core Concept 01 | Core Practice Tips for Associates in 2025: We’re Not in First-Year Property Law Anymore,,,Wednesday
2:15 PM - 3:15 PM,Presidio 1,"Peer to Peer 01 | Franchising: With So Many Cooks in the Kitchen, How Do We Make a Masterpiece Without Burning the Place Down?",,,Wednesday
3:30 PM - 4:30 PM,San Diego Ballroom B,"General Session 02 | Restaurants and Entertainment Uses: Menus, Venues and Screens",,,Wednesday
3:30 PM - 4:30 PM,San Diego Ballroom A,Workshop 03 | Lease Defaults: Events of Default and Remedies From Both Landlord and Tenant Perspectives,,,Wednesday
3:30 PM - 4:30 PM,Pacific Ballroom 25-26,Workshop 04 | Lease Transfers and Change of Control Provisions: Navigating Recent Changes and the Maze of Permitted Transfers,,,Wednesday
3:30 PM - 4:30 PM,Grand Ballroom 3-4,Specialty CLE 01 | Generative AI: How AI Can Assist and Undermine Legal Professionals,,,Wednesday
3:30 PM - 4:30 PM,Rancho Sante Fe ,Core Concept 02 | Letters of Intent and Basic Real Estate Terminology: LOI Stands for “Leave Out/Include”,,,Wednesday
3:30 PM - 4:30 PM,San Diego Ballroom C,"Mock Negotiation 01 | Negotiating SNDAs: Best Practices for Lenders, Landlords and Tenants",,,Wednesday
3:30 PM - 4:30 PM,Presidio 1,Peer to Peer 02 | Managing the Deal: Disorder in the House – What to Do When the Disfunction Is On Your Side of the Table,,,Wednesday
