SessionName,StartTime,EndTime,Location_Lookup,Staff Lead,Type_Lookup,Roomset,A/V,F&B Needs,"PostTo
Web",Step and Repeat?,22x28 Sign?,American Flag,Soft Seating,Soft Seating Needs,Badge Scanning,Internal Notes
NACo Annual Staff Office,7/10/2025 7:00am,7/10/2025 5:00pm,"""304, 300 Level (Pennsylvania Convention Center)""","Leah Rivera,Wendy Flores",,"(4) 8' tables along wall, Power strip at (2) tables, (3) chairs at two (8)' tables only.  Add in center of room either (2) rounds with chairs or one conference table - whichever will fit most appropriately.
KEY Needed (15 qty)
MASTER KEY (8 qty)",POWER DROP: (4) and (4) power strips and (1) power drop for printer. Wendy will decide placement of power strips onsite.,,,,,,,,,
NACo Center Operations,7/10/2025 7:00am,7/10/2025 5:00pm,"""303A, 300 Level (Pennsylvania Convention Center)""","Kevin Carr,Phyllis Williams",,"(1) 8' tables along wall, (2) chairs. 
KEY Needed (3 qty)","POWER DROP: (3) drops one each for a commercial grade printers/copier and (1) power drop at 8' table and (1) power strip.
",,,,,,,,,
Marx AV Storage #1,7/10/2025 7:00am,7/10/2025 7:00pm,"""100 A, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",POWER DROP: (1) at 8' table for Marx Team,,,,,,,,,
NACo Signage Storage,7/10/2025 7:00am,7/10/2025 7:00pm,"""101 , 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
Drop an extra 25 easels in this room.
KEY Needed (3 qty)",,,,,,,,,,
Web Cast/Film Room,7/10/2025 7:00am,7/10/2025 5:00pm,"""306, 300 Level (Pennsylvania Convention Center)""","Myava Mitchell,Charlie Ban",,"(2) 8' tables along wall with (2) chairs each.
KEY Needed (6 qty)
",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
NACo Executive Back Up Office,7/10/2025 7:00am,7/10/2025 5:00pm,"""Conference Suite III, Level 3 (Philadelphia Marriott Downtown)""",Marc Chavez,,"Existing Board Table
KEY Needed",,,,,,,,,,
EDGE Annual Meeting Room,7/10/2025 7:00am,7/10/2025 5:00pm,"""305, 300 Level (Pennsylvania Convention Center)""",,,"Conference (6ppl) with (1) 8' table w/2 chairs along wall. 
KEY Needed (5qty)",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
CPI Meeting Room,7/10/2025 7:00am,7/10/2025 5:00pm,"""Room 309, Level 3 (Philadelphia Marriott Downtown)""",Christina Loukos,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Government Affairs Meeting Room,7/10/2025 7:00am,7/10/2025 5:00pm,"""Room 310, Level 3 (Philadelphia Marriott Downtown)""",Eryn Hurley,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Corcoran Expositions Booth,7/10/2025 7:00am,7/10/2025 5:00pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""","Darrin Crittington,Cara Hackett",,,"Two (2) Monitors with compatible cords to MacBook's
One (1) Large monitor on a stand and with a laptop to run the floor plan on a loop. 
POWER DROP request should be on Freeman Order",,,,,,,,,
NACo Executive Office,7/10/2025 7:00am,7/10/2025 5:00pm,"""303B, 300 Level (Pennsylvania Convention Center)""",Marc Chavez,,"(2) 8' tables along wall, (3) chairs at two (8)' tables only.  Add in center of room (2) rounds with 8 chairs each 
KEY Needed (5qty)","Color Printer
POWER DROP: (2) and (2) power strips, one on each 8' table, (1) drops and (1) power strips round table, (1) power drop for printer",,,,,,,,,
Marx AV Storage #2,7/10/2025 7:00am,7/10/2025 7:00pm,"""100 B, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",,,,,,,,,,
NACo Early Registration Open,7/10/2025 8:00am,7/10/2025 6:30pm,"""Grand Hall, 200 Level (Pennsylvania Convention Center)""",Michelle Stuckey,,(10) 8' tables with (1) chair each - to be set behind Registration in storage area.,,,checked,,,,,,,
NACo Corporate Partners Meeting Room ,7/10/2025 8:00am,7/10/2025 5:00pm,"""104 AB, 100 Level (Pennsylvania Convention Center)""",Cara Hackett,,"Conference (12ppl) with (1) 8' table w/2 chairs along wall and (2) rounds with (6) chairs. (1) Easel
KEY Needed (3qty)

",POWER DROP: (1) at 8' table and (1) power strip,,,,,,,,,
